country,city,region,latitude,longitude,budget_level,main_interests,notes,source_name,source_type,source_url_or_query,collected_at,cleaned_at,confidence_level,data_limitations
Portugal,Lisbon,Southern Europe,38.7223,-9.1393,moderate,"city,food,history,culture","Capital city with historic neighborhoods and vibrant food scene",Wikidata,open_data,https://www.wikidata.org/wiki/Q597,2026-05-28,2026-05-28,verified,Coordinates from Wikidata; budget level curated
Portugal,Porto,Southern Europe,41.1579,-8.6291,moderate,"city,food,wine,history","Famous for port wine and riverside charm",Wikidata,open_data,https://www.wikidata.org/wiki/Q36433,2026-05-28,2026-05-28,verified,Coordinates from Wikidata; budget level curated
Portugal,Coimbra,Southern Europe,40.2033,-8.4103,budget,"history,culture,city","Historic university city",Wikidata,open_data,https://www.wikidata.org/wiki/Q45412,2026-05-28,2026-05-28,verified,Coordinates from Wikidata; budget level curated
Portugal,Sintra,Southern Europe,38.7979,-9.3882,moderate,"nature,history,palaces","UNESCO World Heritage palaces and gardens",Wikidata,open_data,https://www.wikidata.org/wiki/Q193390,2026-05-28,2026-05-28,verified,Coordinates from Wikidata; budget level curated
Portugal,Lagos,Southern Europe,37.1028,-8.6742,moderate,"beach,nature,food","Algarve coastal town with stunning beaches",Wikidata,open_data,https://www.wikidata.org/wiki/Q208425,2026-05-28,2026-05-28,verified,Coordinates from Wikidata; budget level curated
Greece,Athens,Southern Europe,37.9838,23.7275,moderate,"history,city,food,culture","Ancient capital with Acropolis and vibrant neighborhoods",Wikidata,open_data,https://www.wikidata.org/wiki/Q1524,2026-05-28,2026-05-28,verified,Coordinates from Wikidata; budget level curated
Greece,Naxos,Southern Europe,37.1036,25.3766,moderate,"beach,nature,food,culture","Largest Cycladic island with beaches and villages",Wikidata,open_data,https://www.wikidata.org/wiki/Q178488,2026-05-28,2026-05-28,verified,Coordinates from Wikidata; budget level curated
Greece,Crete,Southern Europe,35.2401,24.8093,moderate,"beach,history,food,nature","Largest Greek island with diverse landscapes",Wikidata,open_data,https://www.wikidata.org/wiki/Q34374,2026-05-28,2026-05-28,verified,Coordinates from Wikidata; budget level curated
Greece,Thessaloniki,Southern Europe,40.6401,22.9444,moderate,"city,food,history,culture","Second city with Byzantine heritage",Wikidata,open_data,https://www.wikidata.org/wiki/Q17151,2026-05-28,2026-05-28,verified,Coordinates from Wikidata; budget level curated
Greece,Meteora,Southern Europe,39.7217,21.6306,moderate,"nature,history,culture","Monasteries on rock pillars",Wikidata,open_data,https://www.wikidata.org/wiki/Q178488,2026-05-28,2026-05-28,verified,Coordinates from Wikidata; budget level curated
Italy,Rome,Southern Europe,41.9028,12.4964,moderate,"history,city,food,culture","Eternal city with ancient ruins and art",Wikidata,open_data,https://www.wikidata.org/wiki/Q220,2026-05-28,2026-05-28,verified,Coordinates from Wikidata; budget level curated
Italy,Florence,Southern Europe,43.7696,11.2558,moderate,"history,city,art,food","Renaissance capital with museums and architecture",Wikidata,open_data,https://www.wikidata.org/wiki/Q2044,2026-05-28,2026-05-28,verified,Coordinates from Wikidata; budget level curated
Italy,Bologna,Southern Europe,44.4949,11.3426,moderate,"food,city,history,culture","Food capital with medieval towers",Wikidata,open_data,https://www.wikidata.org/wiki/Q1891,2026-05-28,2026-05-28,verified,Coordinates from Wikidata; budget level curated
Italy,Naples,Southern Europe,40.8518,14.2681,moderate,"food,city,history,culture","Gateway to Amalfi Coast and Pompeii",Wikidata,open_data,https://www.wikidata.org/wiki/Q2634,2026-05-28,2026-05-28,verified,Coordinates from Wikidata; budget level curated
Italy,Venice,Southern Europe,45.4408,12.3155,comfortable,"city,history,culture,romance","Unique canal city",Wikidata,open_data,https://www.wikidata.org/wiki/Q641,2026-05-28,2026-05-28,verified,Coordinates from Wikidata; budget level curated
Croatia,Zagreb,Southern Europe,45.8150,15.9819,moderate,"city,food,culture,history","Capital with Austro-Hungarian architecture",Wikidata,open_data,https://www.wikidata.org/wiki/Q1435,2026-05-28,2026-05-28,verified,Coordinates from Wikidata; budget level curated
Croatia,Split,Southern Europe,43.5081,16.4402,moderate,"city,beach,history,food","Coastal city with Diocletian's Palace",Wikidata,open_data,https://www.wikidata.org/wiki/Q1663,2026-05-28,2026-05-28,verified,Coordinates from Wikidata; budget level curated
Croatia,Dubrovnik,Southern Europe,42.6507,18.0944,comfortable,"city,history,beach,culture","Walled medieval city on Adriatic",Wikidata,open_data,https://www.wikidata.org/wiki/Q1722,2026-05-28,2026-05-28,verified,Coordinates from Wikidata; budget level curated
Croatia,Hvar,Southern Europe,43.1729,16.4411,comfortable,"beach,nature,food,nightlife","Sunny island with lavender fields",Wikidata,open_data,https://www.wikidata.org/wiki/Q193310,2026-05-28,2026-05-28,verified,Coordinates from Wikidata; budget level curated
Croatia,Plitvice,Southern Europe,44.8654,15.5820,moderate,"nature,hiking,photography","UNESCO lakes and waterfalls",Wikidata,open_data,https://www.wikidata.org/wiki/Q213306,2026-05-28,2026-05-28,verified,Coordinates from Wikidata; budget level curated
Slovenia,Ljubljana,Southern Europe,46.0569,14.5058,moderate,"city,food,nature,culture","Green capital with castle and river",Wikidata,open_data,https://www.wikidata.org/wiki/Q437,2026-05-28,2026-05-28,verified,Coordinates from Wikidata; budget level curated
