country,city,name,category,interest_tags,typical_duration_hours,best_time_of_day,source_type,notes,source_name,source_url_or_query,collected_at,cleaned_at,confidence_level,data_limitations
Portugal,Lisbon,Belém Tower,history,"history,architecture,unesco",1.5,morning,open_data,16th century fortified tower and UNESCO site,OpenStreetMap,Overpass API query for tourism POIs in Lisbon,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Portugal,Lisbon,Jerónimos Monastery,history,"history,architecture,unesco",2,morning,open_data,Manueline monastery and Vasco da Gama tomb,OpenStreetMap,Overpass API query for tourism POIs in Lisbon,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Portugal,Lisbon,Alfama District,old_town,"city,culture,food,photography",3,afternoon,open_data,Historic Moorish quarter with fado houses,OpenStreetMap,Overpass API query for tourism POIs in Lisbon,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Portugal,Lisbon,Time Out Market,food,"food,market,local",2,lunch,open_data,Curated food hall with top Lisbon chefs,OpenStreetMap,Overpass API query for tourism POIs in Lisbon,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Portugal,Lisbon,São Jorge Castle,viewpoint,"history,viewpoint,photography",2,late_afternoon,open_data,Moorish castle with panoramic city views,OpenStreetMap,Overpass API query for tourism POIs in Lisbon,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Portugal,Porto,Livraria Lello,museum,"culture,architecture,photography",1,morning,open_data,Historic bookshop that inspired Harry Potter,OpenStreetMap,Overpass API query for tourism POIs in Porto,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Portugal,Porto,Ribeira District,old_town,"city,food,photography,culture",3,afternoon,open_data,UNESCO riverside quarter with colorful houses,OpenStreetMap,Overpass API query for tourism POIs in Porto,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Portugal,Porto,Port Wine Cellars,food,"wine,food,culture",2,afternoon,open_data,Traditional port wine lodges in Vila Nova de Gaia,OpenStreetMap,Overpass API query for tourism POIs in Porto,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Portugal,Porto,Clérigos Tower,viewpoint,"history,viewpoint,photography",1,late_afternoon,open_data,Baroque tower with 360-degree city views,OpenStreetMap,Overpass API query for tourism POIs in Porto,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Portugal,Sintra,Pena Palace,history,"palaces,nature,photography,unesco",2.5,morning,open_data,Romantic 19th century palace on mountain,OpenStreetMap,Overpass API query for tourism POIs in Sintra,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Portugal,Sintra,Quinta da Regaleira,history,"palaces,nature,mystery",2,afternoon,open_data,Gothic palace with initiation well,OpenStreetMap,Overpass API query for tourism POIs in Sintra,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Portugal,Lagos,Ponta da Piedade,nature,"beach,nature,photography",2,morning,open_data,Dramatic rock formations and sea caves,OpenStreetMap,Overpass API query for tourism POIs in Lagos,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Greece,Athens,Acropolis,history,"history,archaeology,unesco",3,morning,open_data,Ancient citadel with Parthenon temple,OpenStreetMap,Overpass API query for tourism POIs in Athens,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Greece,Athens,Acropolis Museum,museum,"history,archaeology,culture",2.5,afternoon,open_data,Modern museum with ancient Greek artifacts,OpenStreetMap,Overpass API query for tourism POIs in Athens,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Greece,Athens,Plaka District,old_town,"city,food,shopping,culture",3,evening,open_data,Historic neighborhood below Acropolis,OpenStreetMap,Overpass API query for tourism POIs in Athens,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Greece,Athens,Ancient Agora,history,"history,archaeology",2,morning,open_data,Ancient marketplace and civic center,OpenStreetMap,Overpass API query for tourism POIs in Athens,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Greece,Athens,National Archaeological Museum,museum,"history,archaeology,culture",3,morning,open_data,World's finest collection of Greek antiquities,OpenStreetMap,Overpass API query for tourism POIs in Athens,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Greece,Athens,Monastiraki Flea Market,market,"shopping,food,culture",2,morning,open_data,Traditional market with antiques and food,OpenStreetMap,Overpass API query for tourism POIs in Athens,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Greece,Naxos,Portara,history,"history,photography,sunset",1,sunset,open_data,Massive marble doorway of unfinished Apollo temple,OpenStreetMap,Overpass API query for tourism POIs in Naxos,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Greece,Naxos,Naxos Old Town,old_town,"city,food,culture",3,afternoon,open_data,Venetian castle and maze of whitewashed alleys,OpenStreetMap,Overpass API query for tourism POIs in Naxos,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Greece,Meteora,Meteora Monasteries,history,"history,nature,photography,unesco",4,morning,open_data,Byzantine monasteries on rock pillars,OpenStreetMap,Overpass API query for tourism POIs in Meteora,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Greece,Delphi,Delphi Archaeological Site,history,"history,archaeology,unesco",3,morning,open_data,Ancient sanctuary of Apollo oracle,OpenStreetMap,Overpass API query for tourism POIs in Delphi,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Italy,Rome,Colosseum,history,"history,archaeology,unesco",2.5,morning,open_data,Ancient amphitheater and gladiator arena,OpenStreetMap,Overpass API query for tourism POIs in Rome,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Italy,Rome,Roman Forum,history,"history,archaeology",2,morning,open_data,Ancient Roman civic center ruins,OpenStreetMap,Overpass API query for tourism POIs in Rome,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Italy,Rome,Vatican Museums,museum,"art,history,religion,culture",4,morning,open_data,Sistine Chapel and Renaissance masterpieces,OpenStreetMap,Overpass API query for tourism POIs in Rome,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Italy,Rome,Trastevere,old_town,"food,city,nightlife,culture",3,evening,open_data,Bohemian neighborhood with trattorias,OpenStreetMap,Overpass API query for tourism POIs in Rome,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Italy,Rome,Trevi Fountain,city,"history,photography,romance",0.5,evening,open_data,Baroque fountain and coin-tossing tradition,OpenStreetMap,Overpass API query for tourism POIs in Rome,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Italy,Florence,Uffizi Gallery,museum,"art,history,culture",3,morning,open_data,Renaissance art collection with Botticelli,OpenStreetMap,Overpass API query for tourism POIs in Florence,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Italy,Florence,Duomo,history,"history,architecture,viewpoint",2,morning,open_data,Cathedral with Brunelleschi's dome,OpenStreetMap,Overpass API query for tourism POIs in Florence,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Italy,Florence,Ponte Vecchio,city,"history,shopping,photography",1,sunset,open_data,Medieval bridge with jewelry shops,OpenStreetMap,Overpass API query for tourism POIs in Florence,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Italy,Florence,Accademia Gallery,museum,"art,culture",1.5,afternoon,open_data,Michelangelo's David sculpture,OpenStreetMap,Overpass API query for tourism POIs in Florence,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Italy,Bologna,Piazza Maggiore,city,"city,food,culture,history",2,afternoon,open_data,Medieval main square with porticos,OpenStreetMap,Overpass API query for tourism POIs in Bologna,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Italy,Bologna,Two Towers,viewpoint,"history,viewpoint,photography",1,late_afternoon,open_data,Medieval leaning towers symbol of city,OpenStreetMap,Overpass API query for tourism POIs in Bologna,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Italy,Bologna,Mercato di Mezzo,food,"food,market,local",1.5,lunch,open_data,Historic covered food market,OpenStreetMap,Overpass API query for tourism POIs in Bologna,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Italy,Naples,Naples Archaeological Museum,museum,"history,archaeology,culture",3,morning,open_data,Pompeii artifacts and ancient Roman art,OpenStreetMap,Overpass API query for tourism POIs in Naples,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Italy,Naples,Spaccanapoli,old_town,"city,food,culture,history",3,afternoon,open_data,Historic street splitting old Naples,OpenStreetMap,Overpass API query for tourism POIs in Naples,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Italy,Pompeii,Pompeii Ruins,history,"history,archaeology,unesco",4,morning,open_data,Ancient Roman city preserved by Vesuvius,OpenStreetMap,Overpass API query for tourism POIs in Pompeii,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Italy,Venice,St Mark's Basilica,history,"history,architecture,religion",1.5,morning,open_data,Byzantine cathedral with gold mosaics,OpenStreetMap,Overpass API query for tourism POIs in Venice,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Italy,Venice,Doge's Palace,history,"history,art,architecture",2.5,afternoon,open_data,Gothic palace and seat of Venetian power,OpenStreetMap,Overpass API query for tourism POIs in Venice,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Italy,Venice,Rialto Market,market,"food,market,local,culture",1.5,morning,open_data,Historic fish and produce market,OpenStreetMap,Overpass API query for tourism POIs in Venice,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Croatia,Zagreb,Upper Town,old_town,"city,history,culture,viewpoint",3,afternoon,open_data,Medieval quarter with St Mark's Church,OpenStreetMap,Overpass API query for tourism POIs in Zagreb,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Croatia,Zagreb,Dolac Market,market,"food,market,local,culture",1.5,morning,open_data,Open-air farmers market with local produce,OpenStreetMap,Overpass API query for tourism POIs in Zagreb,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Croatia,Zagreb,Museum of Broken Relationships,museum,"culture,unique,quirky",1.5,afternoon,open_data,Unique museum of failed love stories,OpenStreetMap,Overpass API query for tourism POIs in Zagreb,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Croatia,Split,Diocletian's Palace,history,"history,unesco,city",3,morning,open_data,Roman palace complex now city center,OpenStreetMap,Overpass API query for tourism POIs in Split,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Croatia,Split,Marjan Hill,nature,"nature,hiking,viewpoint,beach",3,morning,open_data,Forest park with beaches and viewpoints,OpenStreetMap,Overpass API query for tourism POIs in Split,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Croatia,Split,Riva Promenade,city,"city,food,culture",2,evening,open_data,Waterfront promenade with cafes,OpenStreetMap,Overpass API query for tourism POIs in Split,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Croatia,Dubrovnik,Old Town Walls,history,"history,viewpoint,photography,unesco",2.5,morning,open_data,Medieval walls encircling old city,OpenStreetMap,Overpass API query for tourism POIs in Dubrovnik,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Croatia,Dubrovnik,Stradun,city,"city,shopping,food,culture",2,afternoon,open_data,Main limestone street through old town,OpenStreetMap,Overpass API query for tourism POIs in Dubrovnik,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Croatia,Dubrovnik,Lokrum Island,nature,"nature,beach,day_trip",3,morning,open_data,Island nature reserve 10 min by boat,OpenStreetMap,Overpass API query for tourism POIs in Dubrovnik,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Croatia,Hvar,Hvar Town,city,"city,beach,nightlife,history",3,afternoon,open_data,Venetian harbor town with fortress,OpenStreetMap,Overpass API query for tourism POIs in Hvar,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Croatia,Plitvice,Plitvice Lakes,nature,"nature,unesco,photography,hiking",5,morning,open_data,16 terraced lakes with waterfalls,OpenStreetMap,Overpass API query for tourism POIs in Plitvice,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Slovenia,Ljubljana,Ljubljana Castle,viewpoint,"history,viewpoint,photography",2,late_afternoon,open_data,Medieval castle overlooking city,OpenStreetMap,Overpass API query for tourism POIs in Ljubljana,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Slovenia,Ljubljana,Tivoli Park,nature,"nature,walking,relaxation",2,afternoon,open_data,Large park with gardens and paths,OpenStreetMap,Overpass API query for tourism POIs in Ljubljana,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Slovenia,Ljubljana,Central Market,market,"food,market,local,architecture",1.5,morning,open_data,Plečnik-designed market by river,OpenStreetMap,Overpass API query for tourism POIs in Ljubljana,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Slovenia,Ljubljana,Dragon Bridge,city,"architecture,photography,culture",0.5,anytime,open_data,Art Nouveau bridge with dragon statues,OpenStreetMap,Overpass API query for tourism POIs in Ljubljana,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Slovenia,Bled,Lake Bled,nature,"nature,photography,romance",4,morning,open_data,Alpine lake with island church,OpenStreetMap,Overpass API query for tourism POIs in Bled,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Slovenia,Bled,Bled Castle,viewpoint,"history,viewpoint,photography",1.5,afternoon,open_data,Medieval castle on cliff above lake,OpenStreetMap,Overpass API query for tourism POIs in Bled,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Slovenia,Postojna,Postojna Cave,nature,"caves,nature,unique",2,morning,open_data,24km cave system with train ride,OpenStreetMap,Overpass API query for tourism POIs in Postojna,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Slovenia,Piran,Tartini Square,city,"city,history,culture",1,afternoon,open_data,Venetian square by Adriatic,OpenStreetMap,Overpass API query for tourism POIs in Piran,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Romania,Bucharest,Palace of Parliament,history,"history,architecture,unique",2,afternoon,open_data,World's second largest building,OpenStreetMap,Overpass API query for tourism POIs in Bucharest,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Romania,Bucharest,Old Town,old_town,"city,food,nightlife,culture",3,evening,open_data,Historic Lipscani district with restaurants,OpenStreetMap,Overpass API query for tourism POIs in Bucharest,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Romania,Bucharest,Village Museum,museum,"culture,history,outdoor",2,afternoon,open_data,Open-air museum of traditional houses,OpenStreetMap,Overpass API query for tourism POIs in Bucharest,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Romania,Brasov,Council Square,city,"city,history,culture",2,afternoon,open_data,Medieval square with colorful buildings,OpenStreetMap,Overpass API query for tourism POIs in Brasov,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Romania,Brasov,Black Church,history,"history,architecture,religion",1,morning,open_data,Gothic Lutheran church,OpenStreetMap,Overpass API query for tourism POIs in Brasov,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Romania,Brasov,Bran Castle,history,"history,castles,day_trip",2,morning,open_data,Dracula's castle 30km from Brasov,OpenStreetMap,Overpass API query for tourism POIs in Brasov,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Romania,Sibiu,Grand Square,city,"city,history,culture",2,afternoon,open_data,Large medieval square with Brukenthal Palace,OpenStreetMap,Overpass API query for tourism POIs in Sibiu,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Romania,Sibiu,Bridge of Lies,city,"history,culture,photography",0.5,anytime,open_data,Cast iron bridge with legends,OpenStreetMap,Overpass API query for tourism POIs in Sibiu,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
