route_id,country,route_name,route_type,cities,recommended_nights,min_days,max_days,budget_level,fatigue_level,best_months,avoid_months,interests,region,why_route_fits,watch_out
PT001,Portugal,Lisbon Porto Classic,single_country_multi_city,"Lisbon,Porto,Coimbra",7,5,10,moderate,low,"4,5,6,9,10","7,8","city,food,history,culture",Southern Europe,"Perfect introduction to Portugal with two major cities and historic university town. Efficient train connections.","Summer (July-August) very hot and crowded. Book Porto accommodation early for peak season."
PT002,Portugal,Lisbon Day Trips,single_country_one_city,"Lisbon,Sintra,Cascais",5,4,7,moderate,low,"3,4,5,6,9,10","7,8","city,history,nature,palaces",Southern Europe,"Lisbon base with easy day trips to Sintra palaces and Cascais beaches. Low fatigue with return to same hotel.","Sintra can be foggy. Start early to avoid crowds at Pena Palace."
PT003,Portugal,Porto Wine Route,single_country_multi_city,"Porto,Douro Valley,Braga",6,5,9,moderate,medium,"5,6,9,10","7,8,12,1,2","wine,food,nature,history",Southern Europe,"Porto city plus Douro Valley wine region and historic Braga. Mix of urban and rural.","Douro Valley requires car or tour. Wine tastings add up cost-wise."
GR001,Greece,Athens Islands Combo,single_country_multi_city,"Athens,Naxos,Crete",10,8,14,moderate,medium,"5,6,9,10","7,8","history,beach,food,culture",Southern Europe,"Classic Greece combining ancient Athens with island hopping. Naxos less touristy than Santorini.","Ferry schedules vary by season. Book ferries in advance for summer. Island hopping adds fatigue."
GR002,Greece,Athens Mainland,single_country_multi_city,"Athens,Delphi,Meteora",7,6,10,moderate,medium,"4,5,6,9,10","7,8,12,1,2","history,nature,culture,photography",Southern Europe,"Mainland Greece route with ancient sites and dramatic monasteries. No ferry logistics.","Meteora requires car or organized tour. Delphi is 3h from Athens."
GR003,Greece,Thessaloniki North,single_country_multi_city,"Thessaloniki,Halkidiki,Meteora",8,6,12,moderate,medium,"5,6,9,10","7,8","city,beach,nature,history",Southern Europe,"Northern Greece alternative avoiding Athens crowds. Beach and mountains.","Less international flights to Thessaloniki. Halkidiki beaches require car."
IT001,Italy,Rome Florence Bologna,single_country_multi_city,"Rome,Florence,Bologna",8,6,12,moderate,medium,"4,5,6,9,10","7,8","history,art,food,city",Southern Europe,"Classic central Italy art cities. Fast trains make it efficient. Food capital Bologna.","Florence extremely crowded in summer. Book Uffizi and Accademia months ahead."
IT002,Italy,Naples Amalfi Coast,single_country_multi_city,"Naples,Amalfi Coast,Pompeii",7,5,10,comfortable,medium,"5,6,9,10","7,8","food,beach,history,nature",Southern Europe,"Southern Italy with authentic Naples, stunning coast, and ancient ruins.","Amalfi Coast very expensive and crowded in summer. Narrow coastal roads."
IT003,Italy,Venice Verona Lakes,single_country_multi_city,"Venice,Verona,Lake Garda",7,5,10,comfortable,low,"5,6,9,10","7,8,12,1,2","city,romance,nature,history",Southern Europe,"Northern Italy romance route. Venice canals, Verona balcony, lake scenery.","Venice expensive and crowded. Consider staying in Mestre. Lake Garda needs car."
HR001,Croatia,Zagreb Split Dubrovnik,single_country_multi_city,"Zagreb,Split,Dubrovnik",9,7,14,moderate,medium,"5,6,9,10","7,8","city,history,beach,culture",Southern Europe,"Complete Croatia from capital through Dalmatian coast. Diverse experiences.","Long bus ride Zagreb to Split (6h). Dubrovnik very expensive and crowded in summer."
HR002,Croatia,Split Islands,single_country_multi_city,"Split,Hvar,Korcula",8,6,12,comfortable,medium,"5,6,7,8,9","10,11,12,1,2,3","beach,nature,food,nightlife",Southern Europe,"Island hopping from Split. Hvar for nightlife, Korcula for history.","Ferries less frequent off-season. Hvar very party-focused. Accommodation expensive in peak."
HR003,Croatia,Zagreb Nature,single_country_multi_city,"Zagreb,Plitvice,Zadar",6,5,9,moderate,medium,"5,6,9,10","7,8,12,1,2","nature,city,photography,hiking",Southern Europe,"Zagreb city plus Plitvice lakes and coastal Zadar. Nature focus.","Plitvice requires early start and full day. Can be crowded. Best in spring or autumn."
SI001,Slovenia,Ljubljana Bled Combo,single_country_multi_city,"Ljubljana,Bled,Postojna",5,4,8,moderate,low,"5,6,9,10","12,1,2","city,nature,photography,caves",Southern Europe,"Compact Slovenia highlights. Easy distances, low fatigue.","Bled very touristy. Consider staying in Ljubljana and day-tripping. Postojna cave tour is 1.5h."
SI002,Slovenia,Ljubljana Coast,single_country_multi_city,"Ljubljana,Bled,Piran",6,5,9,moderate,medium,"5,6,7,8,9","12,1,2","city,nature,beach,food",Southern Europe,"Slovenia variety: capital, alpine lake, Adriatic coast.","Piran tiny with limited accommodation. Book early. Coast less impressive than Croatian."
SI003,Slovenia,Alpine Nature,single_country_multi_city,"Bled,Ljubljana,Postojna",5,4,8,moderate,low,"6,7,8,9","12,1,2,3","nature,hiking,photography,caves",Southern Europe,"Nature-focused Slovenia. Lakes, caves, mountains.","Hiking requires proper gear. Weather can change quickly in mountains."
RO001,Romania,Bucharest Transylvania,single_country_multi_city,"Bucharest,Brasov,Sibiu",8,6,12,budget,medium,"5,6,9,10","12,1,2","history,culture,nature,castles",Eastern Europe,"Romania highlights: capital, Dracula country, medieval Sibiu. Great value.","Trains slower than Western Europe. Bran Castle overrated but touristy. Rural areas less English."
RO002,Romania,Transylvania Loop,single_country_multi_city,"Brasov,Sibiu,Sighisoara",7,5,10,budget,medium,"5,6,9,10","12,1,2","history,medieval,culture,nature",Eastern Europe,"Medieval Transylvania circuit. Castles, fortified churches, Saxon heritage.","Best with car for flexibility. Public transport exists but slower. Sighisoara small, 1-2 nights enough."
RO003,Romania,Bucharest Cluj,single_country_multi_city,"Bucharest,Brasov,Cluj-Napoca",9,7,14,budget,medium,"4,5,6,9,10","12,1,2","city,culture,history,nightlife",Eastern Europe,"Romania's two major cities plus Transylvania. Urban and rural mix.","Long distances. Night train Bucharest-Cluj option. Cluj younger vibe than Bucharest."
GE001,Georgia,Tbilisi Batumi,single_country_multi_city,"Tbilisi,Mtskheta,Batumi",8,6,12,budget,medium,"5,6,7,8,9","12,1,2","city,food,wine,beach",Caucasus,"Georgia highlights: capital, ancient churches, Black Sea. Unique culture and cuisine.","Visa-free for most. Language barrier outside Tbilisi. Batumi modern resort, not traditional."
