route_id,country,route_name,route_type,cities,recommended_nights,min_days,max_days,budget_level,fatigue_level,best_months,avoid_months,interests,region,why_route_fits,watch_out,source_name,source_type,source_url_or_query,collected_at,cleaned_at,confidence_level,data_limitations
PT001,Portugal,Lisbon Porto Classic,single_country_multi_city,"Lisbon,Porto,Coimbra",7,5,10,moderate,low,"4,5,6,9,10","7,8","city,food,history,culture",Southern Europe,Perfect introduction to Portugal with two major cities and historic university town. Efficient train connections.,Summer (July-August) very hot and crowded. Book Porto accommodation early for peak season.,TravelScan Curated Route Base,curated_route_knowledge,Expert-curated multi-city routes,2026-05-28,2026-05-28,planning_guidance,Not live transport schedules or prices; planning-level route design
PT002,Portugal,Lisbon Day Trips,single_country_one_city,"Lisbon,Sintra,Cascais",5,4,7,moderate,low,"3,4,5,6,9,10","7,8","city,history,nature,palaces",Southern Europe,Lisbon base with easy day trips to Sintra palaces and Cascais beaches. Low fatigue with return to same hotel.,Sintra can be foggy. Start early to avoid crowds at Pena Palace.,TravelScan Curated Route Base,curated_route_knowledge,Expert-curated multi-city routes,2026-05-28,2026-05-28,planning_guidance,Not live transport schedules or prices; planning-level route design
PT003,Portugal,Porto Wine Route,single_country_multi_city,"Porto,Douro Valley,Braga",6,5,9,moderate,medium,"5,6,9,10","7,8,12,1,2","wine,food,nature,history",Southern Europe,Porto city plus Douro Valley wine region and historic Braga. Mix of urban and rural.,Douro Valley requires car or tour. Wine tastings add up cost-wise.,TravelScan Curated Route Base,curated_route_knowledge,Expert-curated multi-city routes,2026-05-28,2026-05-28,planning_guidance,Not live transport schedules or prices; planning-level route design
GR001,Greece,Athens Islands Combo,single_country_multi_city,"Athens,Naxos,Crete",10,8,14,moderate,medium,"5,6,9,10","7,8","history,beach,food,culture",Southern Europe,Classic Greece combining ancient Athens with island hopping. Naxos less touristy than Santorini.,Ferry schedules vary by season. Book ferries in advance for summer. Island hopping adds fatigue.,TravelScan Curated Route Base,curated_route_knowledge,Expert-curated multi-city routes,2026-05-28,2026-05-28,planning_guidance,Not live transport schedules or prices; planning-level route design
GR002,Greece,Athens Mainland,single_country_multi_city,"Athens,Delphi,Meteora",7,6,10,moderate,medium,"4,5,6,9,10","7,8,12,1,2","history,nature,culture,photography",Southern Europe,Mainland Greece route with ancient sites and dramatic monasteries. No ferry logistics.,Meteora requires car or organized tour. Delphi is 3h from Athens.,TravelScan Curated Route Base,curated_route_knowledge,Expert-curated multi-city routes,2026-05-28,2026-05-28,planning_guidance,Not live transport schedules or prices; planning-level route design
GR003,Greece,Thessaloniki North,single_country_multi_city,"Thessaloniki,Halkidiki,Meteora",8,6,12,moderate,medium,"5,6,9,10","7,8","city,beach,nature,history",Southern Europe,Northern Greece alternative avoiding Athens crowds. Beach and mountains.,Less international flights to Thessaloniki. Halkidiki beaches require car.,TravelScan Curated Route Base,curated_route_knowledge,Expert-curated multi-city routes,2026-05-28,2026-05-28,planning_guidance,Not live transport schedules or prices; planning-level route design
IT001,Italy,Rome Florence Bologna,single_country_multi_city,"Rome,Florence,Bologna",8,6,12,moderate,medium,"4,5,6,9,10","7,8","history,art,food,city",Southern Europe,Classic central Italy art cities. Fast trains make it efficient. Food capital Bologna.,Florence extremely crowded in summer. Book Uffizi and Accademia months ahead.,TravelScan Curated Route Base,curated_route_knowledge,Expert-curated multi-city routes,2026-05-28,2026-05-28,planning_guidance,Not live transport schedules or prices; planning-level route design
IT002,Italy,Naples Amalfi Coast,single_country_multi_city,"Naples,Amalfi Coast,Pompeii",7,5,10,comfortable,medium,"5,6,9,10","7,8","food,beach,history,nature",Southern Europe,"Southern Italy with authentic Naples, stunning coast, and ancient ruins.",Amalfi Coast very expensive and crowded in summer. Narrow coastal roads.,TravelScan Curated Route Base,curated_route_knowledge,Expert-curated multi-city routes,2026-05-28,2026-05-28,planning_guidance,Not live transport schedules or prices; planning-level route design
IT003,Italy,Venice Verona Lakes,single_country_multi_city,"Venice,Verona,Lake Garda",7,5,10,comfortable,low,"5,6,9,10","7,8,12,1,2","city,romance,nature,history",Southern Europe,"Northern Italy romance route. Venice canals, Verona balcony, lake scenery.",Venice expensive and crowded. Consider staying in Mestre. Lake Garda needs car.,TravelScan Curated Route Base,curated_route_knowledge,Expert-curated multi-city routes,2026-05-28,2026-05-28,planning_guidance,Not live transport schedules or prices; planning-level route design
HR001,Croatia,Zagreb Split Dubrovnik,single_country_multi_city,"Zagreb,Split,Dubrovnik",9,7,14,moderate,medium,"5,6,9,10","7,8","city,history,beach,culture",Southern Europe,Complete Croatia from capital through Dalmatian coast. Diverse experiences.,Long bus ride Zagreb to Split (6h). Dubrovnik very expensive and crowded in summer.,TravelScan Curated Route Base,curated_route_knowledge,Expert-curated multi-city routes,2026-05-28,2026-05-28,planning_guidance,Not live transport schedules or prices; planning-level route design
HR002,Croatia,Split Islands,single_country_multi_city,"Split,Hvar,Korcula",8,6,12,comfortable,medium,"5,6,7,8,9","10,11,12,1,2,3","beach,nature,food,nightlife",Southern Europe,"Island hopping from Split. Hvar for nightlife, Korcula for history.",Ferries less frequent off-season. Hvar very party-focused. Accommodation expensive in peak.,TravelScan Curated Route Base,curated_route_knowledge,Expert-curated multi-city routes,2026-05-28,2026-05-28,planning_guidance,Not live transport schedules or prices; planning-level route design
HR003,Croatia,Zagreb Nature,single_country_multi_city,"Zagreb,Plitvice,Zadar",6,5,9,moderate,medium,"5,6,9,10","7,8,12,1,2","nature,city,photography,hiking",Southern Europe,Zagreb city plus Plitvice lakes and coastal Zadar. Nature focus.,Plitvice requires early start and full day. Can be crowded. Best in spring or autumn.,TravelScan Curated Route Base,curated_route_knowledge,Expert-curated multi-city routes,2026-05-28,2026-05-28,planning_guidance,Not live transport schedules or prices; planning-level route design
SI001,Slovenia,Ljubljana Bled Combo,single_country_multi_city,"Ljubljana,Bled,Postojna",5,4,8,moderate,low,"5,6,9,10","12,1,2","city,nature,photography,caves",Southern Europe,"Compact Slovenia highlights. Easy distances, low fatigue.",Bled very touristy. Consider staying in Ljubljana and day-tripping. Postojna cave tour is 1.5h.,TravelScan Curated Route Base,curated_route_knowledge,Expert-curated multi-city routes,2026-05-28,2026-05-28,planning_guidance,Not live transport schedules or prices; planning-level route design
